date,gdp_growth
1961,0.191795489572229
1962,4.10299258868014
1963,8.57861891529701
1964,4.95048866604155
1965,4.88497683412908
1966,-4.25051418415514
1967,-15.7436282082049
1968,-1.24836024581224
1969,24.1973839456808
1970,25.0072419293896
1971,14.2375315562508
1972,3.3642620350363
1973,5.39276048395909
1974,11.1606745454862
1975,-5.22774755532079
1976,9.04235172630207
1977,6.02411784954168
1978,-5.76415839390282
1979,6.75943093519177
1980,4.20483104427292
1981,-13.1278804850514
1982,-6.80338881534801
1983,-10.9240850339388
1984,-1.11562321716821
1985,5.91302745911393
1986,0.0609452742066878
1987,3.20012546702944
1988,7.33402548758716
1989,1.91938129589555
1990,11.7768859342067
1991,0.358352601660286
1992,4.63119294607692
1993,-2.03511877399139
1994,-1.81492448525675
1995,-0.0726647639378371
1996,4.19592404660108
1997,2.93709941924898
1998,2.58125410192937
1999,0.584126892918889
2000,5.01593475931152
2001,5.91768464920371
2002,15.3291557409559
2003,7.34719496799492
2004,9.2505582291798
2005,6.43851652538348
2006,6.05942803202906
2007,6.59113036068679
2008,6.76447277780228
2009,8.03692510099023
2010,8.00565591628701
2011,5.30792420289453
2012,4.23006117493223
2013,6.67133539306167
2014,6.30971865525431
2015,2.65269329543001
2016,-1.61686894906509
2017,0.805886619102438
2018,1.92275734200614
2019,2.20842927714892
2020,-6.36889840510109
2021,1.10925253938163
2022,4.31882949523192
2023,3.32684556421316
2024,4.06236408888319
