Date,Population,GDP_Per_Capita,Inflation,Gdp Growth,Unemployment
1960,45053782.0,93.1370090424417,5.4443273618724,,
1961,45989310.0,97.1375281143562,6.27914723477514,0.191795489572229,
1962,46965292.0,104.532495533943,5.26563234621733,4.10299258868014,
1963,47973575.0,107.675741358944,-2.69465535232731,8.57861891529701,
1964,49012016.0,113.297345671875,0.856793145737554,4.95048866604155,
1965,50086764.0,117.287226824734,4.10345873811619,4.88497683412908,
1966,51188234.0,124.382440176253,9.69034608375118,-4.25051418415514,
1967,52293065.0,99.5014906604697,-3.72633676514216,-15.7436282082049,
1968,53432783.0,97.3372081255964,-0.476059059060833,-1.24836024581224,
1969,54631914.0,121.436663307697,10.155979202822,24.1973839456808,
1970,55893838.0,224.46293599595,13.757079924793,25.0072419293896,
1971,57214684.0,160.479255841113,15.9991148482235,14.2375315562508,
1972,58601748.0,209.454776294345,3.457649752015,3.3642620350363,
1973,60082139.0,252.369032452868,5.4026644539422,5.39276048395909,
1974,61679144.0,402.836999782685,12.674393177433,11.1606745454862,
1975,63410815.0,438.078813916795,33.9641883221776,-5.22774755532079,
1976,65258009.0,556.389687719878,24.2999999999997,9.04235172630207,
1977,67234590.0,535.965307817329,15.0878340572687,6.02411784954168,
1978,69326532.0,526.895852928476,21.7092457416665,-5.76415839390282,
1979,71498242.0,660.994040864293,11.7097306212118,6.75943093519177,
1980,73764641.0,870.359934682057,9.97226199001424,4.20483104427292,
1981,76068103.0,2162.20995436075,20.8128229121949,-13.1278804850514,
1982,78378701.0,1821.53265482387,7.69774724714249,-6.80338881534801,
1983,80438260.0,1207.07374565349,23.2123315511559,-10.9240850339388,
1984,82526443.0,890.434106332302,17.8205332860842,-1.11562321716821,
1985,84897973.0,868.640540548893,7.43534482758635,5.91302745911393,
1986,87235953.0,628.248453718536,5.71715145436302,0.0609452742066878,
1987,89591716.0,587.956613434089,11.2903225806451,3.20012546702944,
1988,92020090.0,539.539468397166,54.5112247797673,7.33402548758716,
1989,94531014.0,465.488089532188,50.4666881235915,1.91938129589555,
1990,97120925.0,556.376449130902,7.36440030557696,11.7768859342067,
1991,99720162.0,596.938795710722,13.0069731037428,0.358352601660286,3.831
1992,102372770.0,508.515905682785,44.588842715023,4.63119294607692,3.79
1993,105122069.0,539.573202297542,57.1652528349217,-2.03511877399139,4.023
1994,107935714.0,744.884247151377,57.0317089119659,-1.81492448525675,4.064
1995,110819428.0,1271.61617353199,72.8355022972638,-0.0726647639378371,4.152
1996,113754779.0,1632.72469370276,29.2682926829271,4.19592404660108,4.043
1997,116754792.0,1720.27540949396,8.52987421383634,2.93709941924898,3.964
1998,119846254.0,1822.46998452473,9.99637812386806,2.58125410192937,3.922
1999,123047320.0,480.669363941805,6.61837339479751,0.584126892918889,3.986
2000,126382494.0,547.318298903379,6.93329215565161,5.01593475931152,3.953
2001,129862595.0,566.428231812933,18.8736462093863,5.91768464920371,3.9
2002,133471989.0,712.164852077686,12.8765792031099,15.3291557409559,3.669
2003,137202644.0,763.388745367223,14.0317836131437,7.34719496799492,3.637
2004,141057045.0,962.48104194733,14.9980338183251,9.2505582291798,3.59
2005,145017253.0,1211.37703504386,17.8634933661605,6.43851652538348,3.727
2006,149077334.0,1599.53891556365,8.22522152017047,6.05942803202906,3.749
2007,153267261.0,1815.52697545827,5.38800796858626,6.59113036068679,3.794
2008,157595014.0,2154.10543545364,11.5810751748252,6.76447277780228,3.792
2009,162049464.0,1820.48633854782,12.5378277304689,8.03692510099023,3.763
2010,166642886.0,2202.25672957344,13.7400521363694,8.00565591628701,3.744
2011,171379598.0,2418.41316975875,10.8261371880017,5.30792420289453,3.77
2012,176200625.0,2633.19734671361,12.2242413020584,4.23006117493223,3.761
2013,181049443.0,2872.79083379398,8.49551838265669,6.67133539306167,3.711
2014,185896915.0,3088.72131316169,8.04741087967907,6.30971865525431,3.9
2015,190671878.0,2585.73360671797,9.00943498007706,2.65269329543001,4.134
2016,195443700.0,2070.4127339595,15.6968126387972,-1.61686894906509,4.499
2017,200254579.0,1876.34027111773,16.5022662139641,0.805886619102438,4.83
2018,204938755.0,2057.87944554011,12.0951065173432,1.92275734200614,5.069
2019,209485641.0,3189.81286498516,11.3964223378116,2.20842927714892,5.206
2020,213996181.0,2797.18458068686,13.2460234276597,-6.36889840510109,5.714
2021,218529286.0,2787.48779224428,16.9528457221608,1.10925253938163,5.404
2022,223150896.0,2899.16047470324,18.8471877843274,4.31882949523192,3.827
2023,227882945.0,2138.76383719983,24.659550203114,3.32684556421316,3.074
2024,232679478.0,1084.16041805436,33.2420966545406,4.06236408888319,3.045
2025,,,,,3.064
